source,code,product_name,allergen,lang,text,category,multilingual_uncovered,notes
1263_off_tag_eval,6111246721261,Fromage Blanc Nature,milk,fr,"Lait de vache pasteurisé, Protéines de lait de vache, Crème de lait de vache, Ferment lactique, Amidon, Epaississant, Sorbate de potassium",off_reference_label_limitation,False,
1263_off_tag_eval,6111242101180,uht jaouda 1L,tree_nut,fr,Lait entier,off_reference_label_limitation,False,
1263_off_tag_eval,3046920029759,Excellence Noir Prodigieux 90% Cacao,tree_nut,fr,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.",off_reference_label_limitation,False,
1263_off_tag_eval,6111242100206,Le nature,milk,fr,"lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné",off_reference_label_limitation,False,
1263_off_tag_eval,3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,egg,fr,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, gluten de BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles de graines de sésame, soja, moutarde et fruits à coque. * Ingrédient issu du commerce équitable français.",off_reference_label_limitation,False,
1263_off_tag_eval,3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,milk,fr,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, gluten de BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles de graines de sésame, soja, moutarde et fruits à coque. * Ingrédient issu du commerce équitable français.",off_reference_label_limitation,False,
1263_off_tag_eval,3168930010265,cruesly mélange de noix,milk,fr,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",off_reference_label_limitation,False,
1263_off_tag_eval,3168930010265,cruesly mélange de noix,sesame,fr,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",off_reference_label_limitation,False,
1263_off_tag_eval,3168930010265,cruesly mélange de noix,soy,fr,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",off_reference_label_limitation,False,
1263_off_tag_eval,8052575090254,Rigoni di Asiago - Nocciolata bio,tree_nut,fr,"Sucre*, pâte de noisettes* 18,5%, huile de tournesol*, lait écrémé en poudre*, cacao maigre en poudre* 6,5%, beurre de cacao*, émulsifiant: lécithine de soja*, extrait de vanille*, *Biologique",off_reference_label_limitation,False,
1263_off_tag_eval,5449000147417,Cappy PULPY,wheat_gluten,fr,"D 1Le BG: Негазирана напитка със сок от портокал от концентрат, с пулп от портокал, с добавен витамин С. Със захари и подсладители. Плодово съдържание 7%. Пастьоризирана. Съставки: вода, фруктозо-глюкозен сироп, пулп от портокал (4%), сок от портокал от концентрат (3%), киселина (лимонена киселина), витамин С (L-аскорбинова киселина), регулатор на киселинност (натриеви цитрати), ароматизанти, стабилизатори (акациева гума, глицеролови естери на дървесни смоли, алфа-токоферол), подсладители (цикламати, стевиолови гликозиди от стевия, ацесулфам К), оцветител (каротини). MD: Băuturà răcoritoare necarbogazoasă cu suc de portocale din concentrat (3%) si pulpă de portocale (4%), cu zaharuri si indulcitori. Produs pasteurizat. Ingrediente: apã, sirop de glucozã-fructozã, pulpã de portocale (4%), suc de portocale din concentrat (3%), acidifiant (acid citric), vitamina C (acid L-ascorbic), corector de aciditate (citrati de sodiu), arome, stabilizatori (guma de acacia, esteri glicerici ai rasinilor din lemn, alfa-tocoferol), indulcitori (ciclamati, glicozide steviolice din stevia, acesulfam-K), colorant (caroteni).",off_reference_label_limitation,False,
1263_off_tag_eval,3168930163480,Alvalle Gazpacho l'original,wheat_gluten,fr,"Tomate,poivron,concombre,oignon, huile d'olive vierge extra (2,2%),vinaigre de vin,sel,ail,jus de citron,teneur en légumes: 94%",off_reference_label_limitation,False,
1263_off_tag_eval,3029330022428,14 Maxi Tranches complet sans sucres ajoutés,egg,fr,"Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colga, Levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Contient des sucres naturellement présents. Une recette sans huile de palme pour des pains de mie moelleux. Con vient à un régime végétalien. pour 1 portion %AR* pour (1 tranche ÉTIQUETAGE NUTRITIONNEL 100 g par =39,3g) portion 410 97 f Valeur 1020 kJ énergétique",off_reference_label_limitation,False,
